Jurisdiction,Agenda Page
San Bernardino,http://sanbernardinocityca.iqm2.com/Citizens/Board/1000-Mayor-and-City-Council-of-the-City-of-San-Bernardino
San Bernardino,http://sanbernardinocityca.iqm2.com/Citizens/Board/1033-Planning-Commission
Rialto,https://rialto.legistar.com/Calendar.aspx
Rancho Cucamonga,https://ranchocucamonga.primegov.com/public/portal/?fromiframe=1#/
Ontario,https://www.ontarioca.gov/Agendas/CityCouncil
Ontario,https://www.ontarioca.gov/Agendas/PlanningCommission
Ontario,https://www.ontarioca.gov/Agendas/Zoning
Apple Valley,Town Meeting Agendas and Minutes | Town of Apple Valley
Apple Valley,https://www.applevalley.org/services/planning-division/planning-commission
Del Mar,https://www.delmar.ca.us/184/Planning-Commission
Solana Beach,https://www.ci.solana-beach.ca.us/index.asp?SEC=C38A5C14-3D2B-4356-BFEA-A35854AC6D45&Type=B_BASIC
Coronado,https://www.coronado.ca.us/government/boards_commissions/planning_commission/agendas_and_minutes
Santee,https://www.cityofsanteeca.gov/government/city-clerk/boards-commissions-and-committees/compoc
Poway,https://poway.org/636/Council-Meetings
Lemon Grove,https://www.lemongrove.ca.gov/city-hall/city-council/current-city-council-meeting-agenda
Vista,https://www.cityofvista.com/city-services/city-departments/city-clerk/online-resources/city-commissions-boards-committees/planning-commission
El Cajon,https://www.cityofelcajon.us/your-government/city-meetings-with-agendas-and-minutes-all
La Mesa,https://www.cityoflamesa.us/agendacenter/planning-commission-15
Oceanside,https://www.ci.oceanside.ca.us/gov/dev/planning/agendas.asp
Escondido,https://www.escondido.org/agendas-with-staff-reports.aspx
Chula Vista,http://cvapps.chulavistaca.gov/weblink8/browse.aspx?startid=44649
San Francisco,https://sfbos.org/meetings/full-board-meetings
San Francisco,https://sfplanning.org/hearings-events
Lodi,http://www.lodi.gov/AgendaCenter
Lodi,"http://www.lodi.gov/AgendaCenter/Search/?term=&CIDs=3,&startDate=&endDate=&dateRange=&dateSelector="
Colma,https://www.colma.ca.gov/city-council-meetings/
Portola Valley,https://www.portolavalley.net/town-government/planning-commission/minutes-and-agendas
Atherton,https://www.ci.atherton.ca.us/Archive.aspx?AMID=41
Atherton,https://www.ci.atherton.ca.us/641/Agendas-Minutes
Woodside,https://www.woodsidetown.org/calendar/month?field_microsite_tid=All&field_microsite_tid_1=491
Woodside,https://www.woodsideca.gov/AgendaCenter
Half Moon Bay,https://www.half-moon-bay.ca.us/315/City-Council-Agendas
Half Moon Bay,https://www.half-moon-bay.ca.us/314/Planning-Commission-Agendas
Hillsborough,https://www.hillsborough.net/agendacenter
East Palo Alto,https://www.cityofepa.org/citycouncil/page/agenda-and-minutes
Brisbane,https://www.brisbaneca.org/meetings?date_filter%5Bvalue%5D%5Bmonth%5D=1&date_filter%5Bvalue%5D%5Bday%5D=1&date_filter%5Bvalue%5D%5Byear%5D=2016&date_filter_1%5Bvalue%5D%5Bmonth%5D=6&date_filter_1%5Bvalue%5D%5Bday%5D=18&date_filter_1%5Bvalue%5D%5Byear%5D=2024&field_microsite_tid_1=27
Brisbane,https://www.brisbaneca.org/meetings?date_filter%5Bvalue%5D%5Bmonth%5D=1&date_filter%5Bvalue%5D%5Bday%5D=1&date_filter%5Bvalue%5D%5Byear%5D=2016&date_filter_1%5Bvalue%5D%5Bmonth%5D=6&date_filter_1%5Bvalue%5D%5Bday%5D=18&date_filter_1%5Bvalue%5D%5Byear%5D=2021&field_microsite_tid_1=28
Belmont,https://www.belmont.gov/departments/meetings-agendas-minutes/-selcat-12/-toggle-all
Belmont,https://www.belmont.gov/departments/meetings-agendas-minutes/-selcat-1/-toggle-all
Foster City,https://www.fostercity.org/agendasandminutes
Pacifica,https://pacificacityca.iqm2.com/Citizens/Calendar.aspx
Millbrae,https://www.ci.millbrae.ca.us/community/city-calendar/-selcat-6
Millbrae,https://www.ci.millbrae.ca.us/AgendaCenter
San Carlos,http://sancarlosca.iqm2.com/Citizens/Default.aspx
San Mateo County,https://planning.smcgov.org/upcoming-planning-commission-meetings
San Mateo County,https://sanmateocounty.legistar.com/Calendar.aspx
Menlo Park,https://beta.menlopark.org/Agendas-and-minutes
Menlo Park,https://www.menlopark.org/AgendaCenter
San Bruno,https://www.sanbruno.ca.gov/AgendaCenter
San Bruno,https://www.sanbruno.ca.gov/gov/boards_commissions_n_committees/planning_commission/planning_commission_agendas_and_minutes/default.htm
Burlingame,https://www.burlingame.org/government/city_council/city_council_meeting_documents_and_minutes.php
Burlingame,https://www.burlingame.org/169/City-Council---Agendas-and-Minutes
South San Francisco,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6
South San Francisco,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86&R=111fecdc-a817-4fe6-9b0d-657b7bec6383
Daly City,https://www.dalycity.org/369/Planning-Commission
Daly City,https://www.dalycity.org/129/Agendas-Minutes
Redwood City,https://www.redwoodcity.org/city-hall/advisory-bodies-and-committees/regulatory-and-advisory-boards-commissions-and-committees/planning-commission/agendas-minutes
Redwood City,https://www.redwoodcity.org/city-hall/city-council/city-council-meetings-agendas-and-minutes
San Mateo,https://www.cityofsanmateo.org/3971/Agendas-Minutes-Public-Meeting-Portal
Portola Valley,"Meeting Minutes, Agendas, and Recordings | Portola Valley, CA"
Atherton,https://www.ci.atherton.ca.us/641/Agendas-Minutes
Woodside,https://www.woodsideca.gov/agendacenter
Half Moon Bay,https://www.half-moon-bay.ca.us/315/City-Council-Agendas
Hillsborough,https://www.hillsborough.net/AgendaCenter/City-Council-3
East Palo Alto,https://www.ci.east-palo-alto.ca.us/citycouncil/page/agenda-and-minutes
Brisbane,https://www.brisbaneca.org/meetings
Brisbane,https://www.brisbaneca.org/meetings
Belmont,https://www.belmont.gov/departments/meetings-agendas-minutes
Foster City,https://www.fostercity.org/agendasandminutes
Pacifica,https://www.cityofpacifica.org/government/city-council/city-council-agendas
Millbrae,https://www.ci.millbrae.ca.us/AgendaCenter
San Carlos,cityofsancarlos.org/agenda
San Carlos,https://www.cityofsancarlos.org/residents/public-meetings
San Mateo County,https://www.smcgov.org/bos/board-supervisors-agenda-information
Menlo Park,https://menlopark.gov/Agendas-and-minutes#section-2
San Bruno,https://www.sanbruno.ca.gov/AgendaCenter/City-Council-17
San Bruno,https://www.sanbruno.ca.gov/563/Planning-Commission
Burlingame,https://www.burlingame.org/169/City-Council---Agendas-and-Minutes
South San Francisco,https://www.ssf.net/Departments/City-Council/City-Council-Meetings
Daly City,https://www.dalycity.org/129/Agendas-Minutes
Redwood City,"Meetings, Agendas, and Minutes | City of Redwood City"
Redwood City,https://www.redwoodcity.org/city-hall/advisory-bodies-and-committees/regulatory-and-advisory-boards-commissions-and-committees/housing-and-human-concerns-committee/agendas-minute
San Mateo,https://www.cityofsanmateo.org/3971/Agendas-Minutes-Public-Meeting-Portal
Pacifica,https://pacificacityca.iqm2.com/Citizens/Calendar.aspx
Pacifica,https://pacificacityca.iqm2.com/Citizens/Calendar.aspx
Guadalupe,https://ci.guadalupe.ca.us/document-category/council-agendas/
Carpinteria,https://carpinteriaca.gov/city-hall/agendas-meetings//
Carpinteria,https://carpinteriaca.gov/city-hall/agendas-meetings/
Goleta,https://www.cityofgoleta.org/i-want-to/news-and-updates/government-meeting-agendas-and-videos
Lompoc,https://www.cityoflompoc.com/government/committees-boards/city-council
Lompoc,https://www.cityoflompoc.com/government/committees-boards/planning-commission
Santa Maria,https://cityofsantamaria.civicweb.net/Portal/MeetingTypeList.aspxx
Santa Maria,https://cityofsantamaria.civicweb.net/Portal/MeetingTypeList.aspx
Santa Barbara,https://www.santabarbaraca.gov/gov/brdcomm/nz/planning/agendas.asp
Santa Barbara,https://www.santabarbaraca.gov/gov/cityhall/council/meetings/videos/default.asp
Buellton,City Council Agenda Archive | City of Buellton California
Buellton,Planning Commission Agenda/Packet Archive | City of Buellton California
Solvang,Agenda Center • Solvang CA • CivicEngage (cityofsolvang.com)
Santa Barbara,https://santabarbaraca.gov/planning-commission/planning-commission-agendas-documents
Monte Sereno,https://montesereno.civicweb.net/Portal/MeetingSchedule.aspx&month=4
Los Altos Hills,https://www.losaltoshills.ca.gov/506/CITY-COUNCIL-AGENDAS-MINUTES-AFTER-JUNE-
Morgan Hill,https://morganhillca.portal.civicclerk.com/
Gilroy,http://gilroyca.iqm2.com/Citizens/default.aspx
Saratoga,https://www.saratoga.ca.us/AgendaCenter/City-Council-13
Saratoga,https://www.saratoga.ca.us/AgendaCenter/Planning-Commission-6
Los Altos,https://www.losaltosca.gov/citycouncil/page/city-council-planning-commission-meetings
Los Gatos,https://meetings.municode.com/PublishPage/index?cid=LOSGATOS&ppid=4bc370fb-3064-458e-a11a-78e0c0e5d161&p=0
Los Gatos,https://meetings.municode.com/PublishPage/index?cid=LOSGATOS&ppid=ed97530d-9c22-4c95-961a-4d6a2c43b619&p=1
Campbell,https://www.ci.campbell.ca.us/AgendaCenter/City-Council-10
Campbell,https://www.ci.campbell.ca.us/AgendaCenter/Planning-Commission-6
Cupertino,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D&Mode=MainBody
Cupertino,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5&Search=
Palo Alto,https://www.cityofpaloalto.org/Departments/City-Clerk/Council-Meeting-Agendas-and-Minutes
Palo Alto,https://www.cityofpaloalto.org/Departments/Planning-Development-Services/Planning-and-Transportation-Commission-PTC/Current-PTC-Agendas-Minutes
Milpitas,https://www.ci.milpitas.ca.gov/our-government/commission/planning-commission/planning-commission-meeting-agendas-and-minutes/
Milpitas,https://www.ci.milpitas.ca.gov/our-government/city-council/city-council-agendas-and-minutes-2/
Mountain View,https://mountainview.legistar.com/Calendar.aspx
Mountain View,https://www.mountainview.gov/council/future_agenda_items.asp
Santa Clara,https://santaclara.legistar.com/DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B&Mode=MainBody
Santa Clara,https://santaclara.legistar.com/DepartmentDetail.aspx?ID=35684&GUID=249B4801-61A9-45B3-A4BA-904F6F83C9D0&R=d80b9eb5-5805-4362-bb2f-d2d29948352d
Sunnyvale,https://sunnyvaleca.legistar.com/Calendar.aspx
Sunnyvale,https://sunnyvaleca.legistar.com/DepartmentDetail.aspx?ID=24675&GUID=92003858-11AA-4C13-A98E-15FFEAD40EC0&Mode=MainBody
San Jose,https://www.sanjoseca.gov/your-government/departments-offices/planning-building-code-enforcement/planning-division/commissions-hearings-and-developers-roundtable/planning-commission/agendas-minutes-2022
San Jose,https://sanjose.legistar.com/DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90
Monte Sereno,https://montesereno.civicweb.net/Portal/MeetingInformation.aspx?Org=Cal&Id=108
Morgan Hill,https://www.morgan-hill.ca.gov/2101/Agendas-Minutes
Gilroy,https://cityofgilroy.org/965/Agendas-Minutes
Saratoga,https://www.saratoga.ca.us/AgendaCenter/City-Council-13
Los Altos,https://www.losaltosca.gov/meetings
Los Gatos,https://losgatos-ca.municodemeetings.com/
Cupertino,https://www.cupertino.org/our-city/agendas-minutes
Palo Alto,https://www.cityofpaloalto.org/Departments/City-Clerk/City-Meeting-Groups/Meeting-Agendas-and-Minutes
Milpitas,https://www.milpitas.gov/129/Agendas-Minutes
Mountain View,https://mountainview.legistar.com/Calendar.aspx
San Jose,https://www.sanjoseca.gov/your-government/appointees/city-clerk/council-agendas-minutes/council-agendas
San Jose,https://www.sanjoseca.gov/your-government/departments-offices/planning-building-code-enforcement/planning-division/commissions-hearings-and-developers-roundtable/planning-commission/planning-commission-agendas-minutes
SCC,"Meeting Portal - The County of Santa Clara, California (iqm2.com)"
Capitola,https://www.cityofcapitola.org/meetings
Santa Cruz,https://ecm.cityofsantacruz.com/OnBaseAgendaOnline/Meetings/Search?dropid=4&mtids=117
Santa Cruz,https://ecm.cityofsantacruz.com/OnBaseAgendaOnline/Meetings/Search?dropid=4&mtids=103%2C104%2C105%2C106
Scotts Valley,https://www.scottsvalley.gov/129/Agendas-Minutes
Scotts Valley,https://www.scottsvalley.org/AgendaCenter/Planning-Commission-2
Watsonville,https://www.cityofwatsonville.org/195/Planning-Commission
Watsonville,https://www.cityofwatsonville.org/2123/City-Council-Agendas-Minutes
Santa Cruz County,http://santacruzcountyca.iqm2.com/citizens/default.aspx?
Dixon,https://www.cityofdixon.us/MeetingAgendasMinutesVideos
Rio Vista,https://www.riovistacity.com/meeting-agenda-minutes/
Suisun City,https://www.suisun.com/government/city-council/city-council/
Benicia,https://www.ci.benicia.ca.us/agendas
Vacaville,https://www.ci.vacaville.ca.us/city-government/agendas-and-minutes
Vallejo,https://www.vallejo.gov/our_city/departments_divisions/city_manager/city_clerk/city_agendas_videos
Fairfield,https://www.fairfield.ca.gov/gov/city_council/ccm/default.asp
Fairfield,https://eservices.fairfield.ca.gov/WebLink/Browse.aspx?startid=43042&row=1&dbid=0
Vallejo,https://www.cityofvallejo.net/our_city/departments_divisions/city_manager/city_clerk/city_agendas_videos
Vacaville,https://www.cityofvacaville.gov/government/agendas-and-minutes
Sebastopol,https://ci.sebastopol.ca.us/Meeting-Event
Cotati,http://cotaticityca.iqm2.com/Citizens/calendar.aspx
Cloverdale,https://www.cloverdale.net/AgendaCenter
Healdsburg,https://healdsburgca.iqm2.com/Citizens/default.aspx
Sonoma,https://sonomacity.civicweb.net/Portal/MeetingSchedule.aspx
Windsor,https://www.townofwindsor.com/721/Agendas-Minutes-Videos
Rohnert Park,https://www.rpcity.org/city_hall/city_council/meeting_central
Petaluma,https://cityofpetaluma.org/meetings/
Santa Rosa,https://santa-rosa.legistar.com/Calendar.aspx
Rohnert Park,https://www.rpcity.org/cms/One.aspx?portalId=3037873&pageId=19410524
Petaluma,"The City Of Petaluma Public Meeting Agendas, Minutes And Videos"
Sebastopol,https://www.cityofsebastopol.gov/your-government/city-meeting-calendar/
Cloverdale,https://www.cloverdale.net/agendacenter
Turlock,https://ci.turlock.ca.us/government/turlockcitycouncil/councilmeetings.asp
Turlock,https://ci.turlock.ca.us/government/commissionscommittees/planningcommission/planningcommissionmeetings.asp
Ojai,https://ojai.ca.gov/planning-commission-agenda-and-reports/
Ojai,https://ojai.ca.gov/2021-council-agendas-and-reports/
Port Hueneme,http://porthuenemeca.suiteonemedia.com/web/Home.aspx
Fillmore,https://www.fillmoreca.gov/129/Agendas-Minutes-Video
Santa Paula,http://santapaulaca.iqm2.com/Citizens/default.aspx
Camarillo,https://www.ci.camarillo.ca.us/departments/city_clerk/planning_commmission_2021.php
Camarillo,https://www.ci.camarillo.ca.us/departments/city_clerk/cc_agendas_minutes_and_videos_2021.php
Thousand Oaks,https://www.toaks.org/departments/city-clerk/boards-commissions/planning-commission/planning-commission-agenda
Thousand Oaks,https://www.toaks.org/departments/city-clerk/agendas-minutes/city-council-agendas
Simi Valley,https://www.simivalley.org/government/public-meetings/planning-commission-meetings
Simi Valley,https://www.simivalley.org/government/city-council/city-council-meetings
Oxnard,https://www.oxnard.org/city-meetings/
Ventura,https://www.cityofventura.ca.gov/AgendaCenter
Camarillo,"Welcome to Camarillo, CA"
Ojai,2022 Council Agendas and Reports | City of Ojai (ca.gov)
Santa Paula,"Meeting Calendar - Santa Paula, CA (iqm2.com)"
Davis,https://www.cityofdavis.org/city-hall/city-council/city-council-meetings/agendas
West Sacramento,https://www.cityofwestsacramento.org/government/meetings-agendas/city-council
Marysville,http://marysvilleca.granicus.com/ViewPublisherRSS.php?view_id=1&mode=agendas
Wheatland,https://www.wheatland.ca.gov/meetings
Cotati,http://cotaticityca.iqm2.com/Citizens/calendar.aspx
Cotati,https://www.cotaticity.gov/1553/City-Council-and-Commission-Meeting-Info
Cloverdale,https://www.cloverdale.net/AgendaCenter
Cloverdale,https://www.cloverdale.net/AgendaCenter
Healdsburg,https://healdsburgca.iqm2.com/Citizens/default.aspx
Healdsburg,https://healdsburgca.iqm2.com/Citizens/default.aspx
Sonoma,https://sonomacity.civicweb.net/Portal/MeetingSchedule.aspx
Sonoma,https://sonomacity.civicweb.net/Portal/MeetingSchedule.aspx
Windsor,https://www.townofwindsor.com/721/Agendas-Minutes-Videos
Windsor,https://www.townofwindsor.com/721/Agendas-Minutes-Videos
Rohnert Park,https://www.rpcity.org/city_hall/city_council/meeting_central
Rohnert Park,https://www.rpcity.org/city_hall/city_council/meeting_central
Petaluma,https://cityofpetaluma.org/meetings/
Petaluma,https://cityofpetaluma.org/meetings/
Santa Rosa,https://santa-rosa.legistar.com/Calendar.aspx
Santa Rosa,https://santa-rosa.legistar.com/Calendar.aspx
Ceres,
Hughson,
Modesto,
Newman,
Oakdale,
Patterson,
Riverbank,
Turlock,https://ci.turlock.ca.us/government/turlockcitycouncil/councilmeetings.asp
Turlock,https://ci.turlock.ca.us/government/commissionscommittees/planningcommission/planningcommissionmeetings.asp
Waterford,
Live Oak,
Yuba City,
Tehama,
Corning,
Red Bluff,
Dinuba,
Exeter,
Farmersville,
Lindsay,
Porterville,
Tulare,
Visalia,
Woodlake,
Sonora,
Ojai,https://www.ojai.ca.gov/526/Agendas-Minutes
Ojai,https://www.ojai.ca.gov/526/Agendas-Minutes
Port Hueneme,http://porthuenemeca.suiteonemedia.com/web/Home.aspx
Fillmore,https://www.fillmoreca.gov/129/Agendas-Minutes-Video
Fillmore,https://www.fillmoreca.com/i-want-to/i-want-to-view-an-agenda
Santa Paula,https://www.spcity.org/523/Public-Meeting-Agendas
Santa Paula,https://santa-paula.granicus.com/ViewPublisher.php?view_id=5
Camarillo,https://www.ci.camarillo.ca.us/departments/city_clerk/planning_commmission_2021.php
Camarillo,http://ci.camarillo.ca.us/departments/city_clerk/meeting_agendas___public_hearing_notices/index.php
Thousand Oaks,https://www.toaks.org/departments/city-clerk/boards-commissions/planning-commission/planning-commission-agenda
Thousand Oaks,https://www.toaks.org/departments/city-clerk/agendas-minutes/city-council-agendas
Oxnard,https://www.oxnard.org/city-meetings/
Oxnard,https://www.oxnard.org/city-meetings/
Ventura,https://www.cityofventura.ca.gov/AgendaCenter
Ventura,https://www.cityofventura.ca.gov/AgendaCenter
Winters,
Davis,https://www.cityofdavis.org/city-hall/city-council/city-council-meetings/agendas
Woodland,
West Sacramento,https://www.cityofwestsacramento.org/government/meetings-agendas/city-council
Marysville,http://marysvilleca.granicus.com/ViewPublisherRSS.php?view_id=1&mode=agendas
Marysville,http://marysvilleca.granicus.com/ViewPublisherRSS.php?view_id=1&mode=agendas
Wheatland,https://www.wheatland.ca.gov/meetings
Wheatland,http://www.wheatland.ca.gov/agendas/